category,label_id,image_path,feature_mean,feature_std,feature_min,feature_max,feature_median,pca_component_1,pca_component_2,pca_component_3,pca_component_4,pca_component_5,pca_component_6,pca_component_7,pca_component_8,pca_component_9,pca_component_10
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_2339.jpg,0.5017098,0.66078806,0.0,3.6229978,0.24685606,7.2963753,0.2500435,-1.2363628,-0.6227979,1.8097792,1.9794627,-0.03422907,3.6837642,-3.8975506,-1.7191585
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_2696.jpg,0.47496185,0.6302044,0.0,3.6309834,0.22157389,3.8868084,-0.15092523,-1.6012255,-0.99128026,3.9906313,2.6139777,-1.5399269,4.076565,-1.7328204,-1.3629595
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_4342.jpg,0.5943168,0.6955304,0.0,4.0533204,0.34168154,5.0546646,-3.0356202,-1.3046938,1.6818736,0.25597984,4.960091,-1.0104599,4.6900544,-2.043095,-1.0909991
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_4574.jpg,0.49452028,0.6493524,0.0,3.7212186,0.21353005,6.1775165,0.02780809,-4.1739864,-1.8911343,-0.051730845,2.2491612,2.0911677,3.479457,-1.1411201,-0.6497315
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_6456.jpg,0.49941802,0.66210276,0.0,4.0349655,0.25502276,7.536455,-1.4886363,-4.351961,-2.8989484,0.05383362,1.3715013,-0.04873981,2.1866164,-5.6804743,-0.63230157
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_6472.jpg,0.46244478,0.608346,0.0,3.700136,0.24105677,3.2667348,1.2969717,-1.7431424,2.2749844,1.2560774,1.4567783,-2.6992464,2.8544412,0.2230985,-0.07779026
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_777.jpg,0.5300216,0.6661617,0.0,3.6897895,0.24738112,7.819782,-0.33000588,-3.1805613,0.035462026,-1.1394297,0.7566837,5.506466,3.2097297,0.54146224,-1.29097
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_824.jpg,0.52465355,0.65692896,0.0,3.3935342,0.24888065,8.018839,-0.99331003,-3.7086232,-0.17538135,0.36676472,-0.25403076,3.341647,1.9351708,-0.26069263,-1.7664194
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_833.jpg,0.40959233,0.6542111,0.0,4.698821,0.1062651,3.250867,3.7637618,-2.2351067,-3.9625416,1.1881001,2.0584912,1.4973265,3.1981802,-0.9306628,-2.1216004
bon,0,data/augmented\bon\aug_IMG-20250224-WA0051_0_8903.jpg,0.46244472,0.6813228,0.0,3.953895,0.16075741,6.2019005,1.2379739,-2.925114,-5.2747,4.140905,3.5214489,-0.7750742,2.4299438,-4.2086854,-1.9943172
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_2244.jpg,0.42323875,0.6667087,0.0,3.8499637,0.1386263,-2.928665,4.415821,0.047894947,-0.61345345,1.551042,1.5454477,-1.5411125,0.63948226,-1.015051,2.1969864
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_2767.jpg,0.4331512,0.6629727,0.0,4.01394,0.13200113,-0.29597557,6.0967083,-2.6845303,-3.6201346,1.3430811,1.8451829,-2.1885192,-1.6942337,0.9105578,0.34797677
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_2894.jpg,0.39815536,0.6282275,0.0,3.940993,0.10788013,-1.6608546,5.8619933,-2.7548234,-3.713094,1.2871423,1.5056473,-0.8504789,-0.65098584,-1.2811698,-0.59875375
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_300.jpg,0.43091598,0.67322755,0.0,3.9055233,0.1346813,-1.6456665,6.471034,-1.2302115,-1.58442,1.7246298,3.158332,-3.0925438,0.7906908,-0.4151607,-0.3430099
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_3727.jpg,0.44399634,0.5812417,0.0,3.793146,0.20662221,7.5178976,-0.54392886,-3.659534,-5.0474715,0.44814843,-0.87561303,-0.87940305,0.96370214,-2.8036194,-3.4473648
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_4525.jpg,0.43141383,0.6342366,0.0,4.2688603,0.1717527,0.92601335,3.215919,-1.6221759,-1.7330488,-0.53355914,1.453645,-4.319781,1.5063615,-1.140092,-2.5435421
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_5071.jpg,0.49682602,0.61761624,0.0,4.1421156,0.25933555,4.857861,0.37839088,-0.21819669,-2.6577017,0.44397673,3.694089,-1.0996577,0.85770947,-0.24958688,-1.9424453
bon,0,data/augmented\bon\aug_IMG-20250224-WA0052_0_6199.jpg,0.4659679,0.60516226,0.0,3.7126095,0.21397883,6.391243,-0.97044533,-2.0688353,-5.536305,-0.12932701,1.1674554,-1.6388446,0.5222911,-3.6736424,-2.4734256
